timestamp,epoch,step,train_loss,train_perplexity,eval_loss,eval_perplexity,learning_rate,grad_norm
2025-06-01T22:05:02.055315,1,10,10,0.8137438297271729,2.2563395447315457,,,3.0303030303030305e-06,72.95942687988281
2025-06-01T22:05:05.958744,1,20,20,0.29271482676267624,1.3400605865214401,,,6.060606060606061e-06,1.6651322841644287
2025-06-01T22:05:09.857689,1,30,30,0.3038218915462494,1.3550276927087428,,,9.090909090909091e-06,2.0858819484710693
2025-06-01T22:05:13.753503,1,40,40,0.1266566701233387,1.1350272621080246,,,1.2121212121212122e-05,0.9732949137687683
2025-06-01T22:05:20.575502,1,50,50,0.1560215763747692,1.1688514223941366,,,1.5151515151515153e-05,1.2803590297698975
2025-06-01T22:05:24.473369,1,60,60,0.2502725012600422,1.2843753629099428,,,1.8181818181818182e-05,1.3564119338989258
2025-06-01T22:05:28.369659,1,70,70,0.12209589406847954,1.12986244369211,,,1.9997806834748455e-05,0.901718258857727
2025-06-01T22:05:32.252739,1,80,80,0.23546278104186058,1.2654942800020523,,,1.997314477224458e-05,1.2605928182601929
2025-06-01T22:05:36.153750,1,90,90,0.10111308470368385,1.1064017518035323,,,1.9921147013144782e-05,0.7848919630050659
2025-06-01T22:05:42.950848,1,100,100,0.20313000679016113,1.2252317463402034,,,1.984195607969242e-05,1.1468751430511475
2025-06-01T22:05:46.861676,1,110,110,0.18049801141023636,1.197813739517977,,,1.9735789028731603e-05,1.0690646171569824
2025-06-01T22:05:50.767304,1,120,120,0.27773335576057434,1.32013414410992,,,1.9602936856769432e-05,1.3712029457092285
2025-06-01T22:05:54.676969,1,130,130,0.1380462571978569,1.1480286536345394,,,1.944376370237481e-05,0.8374546766281128
2025-06-01T22:05:58.581729,1,140,140,0.16407223790884018,1.178299429905231,,,1.925870584809995e-05,0.966931164264679
2025-06-01T22:06:05.395296,1,150,150,0.2105036936700344,1.2342996123092556,,,1.9048270524660197e-05,1.0160281658172607
2025-06-01T22:06:09.295716,1,160,160,0.10738411918282509,1.1133618359915674,,,1.8813034520649923e-05,0.7891165018081665
2025-06-01T22:06:13.194579,1,170,170,0.14196841046214104,1.1525402397484021,,,1.855364260160507e-05,0.7959848046302795
2025-06-01T22:06:17.093075,1,180,180,0.1399242952466011,1.1501867209590906,,,1.827080574274562e-05,0.8153330683708191
2025-06-01T22:06:20.991307,1,190,190,0.12908079847693443,1.1377820515087322,,,1.7965299180241963e-05,0.7708629369735718
2025-06-01T22:06:27.790970,1,200,200,0.12317676842212677,1.1310843432716442,,,1.7637960286346423e-05,0.7775571346282959
2025-06-01T22:06:31.693835,1,210,210,0.14282390475273132,1.1535266532185677,,,1.7289686274214116e-05,0.8746703863143921
2025-06-01T22:06:35.594329,1,220,220,0.17150412499904633,1.187089039463344,,,1.692143173870407e-05,0.9210086464881897
2025-06-01T22:06:39.466313,1,445,222,0.38245899953485074,1.4658847711679721,0.25567520707845687,1.2913332439236922,1.684547105928689e-05,
2025-06-01T22:06:53.844308,2,10,232,0.09346754848957062,1.0979749718169052,,,1.645457687723951e-05,0.7057094573974609
2025-06-01T22:06:57.746504,2,20,242,0.1060151606798172,1.111838732609789,,,1.6045991148623752e-05,1.1032780408859253
2025-06-01T22:07:04.528826,2,30,252,0.0718829445540905,1.0745295571654796,,,1.5620833778521306e-05,0.626437783241272
2025-06-01T22:07:08.423936,2,40,262,0.06429124996066093,1.06640294335156,,,1.5180270093731305e-05,0.6892837285995483
2025-06-01T22:07:12.325149,2,50,272,0.1755613572895527,1.1919151190887807,,,1.4725507648690542e-05,1.383681058883667
2025-06-01T22:07:16.222272,2,60,282,0.07900071516633034,1.0822050960266851,,,1.4257792915650728e-05,0.7304014563560486
2025-06-01T22:07:20.120050,2,70,292,0.046099383383989334,1.0471784779263649,,,1.3778407868184674e-05,0.5057010650634766
2025-06-01T22:07:26.935749,2,80,302,0.10349602624773979,1.1090413863005961,,,1.3288666467385834e-05,0.836716890335083
2025-06-01T22:07:30.836151,2,90,312,0.1171758659183979,1.1243171413712918,,,1.2789911060392295e-05,0.9622392654418945
2025-06-01T22:07:34.718198,2,100,322,0.09719482064247131,1.102075059678872,,,1.2283508701106559e-05,0.8060721158981323
2025-06-01T22:07:38.622386,2,110,332,0.08367760479450226,1.087278303985377,,,1.1770847403195836e-05,0.7443540692329407
2025-06-01T22:07:42.524450,2,120,342,0.11173233762383461,1.1182135168983098,,,1.1253332335643043e-05,0.9510127902030945
2025-06-01T22:07:49.353989,2,130,352,0.1161351129412651,1.1231476136594583,,,1.0732381971276318e-05,0.8503321409225464
2025-06-01T22:07:53.257479,2,140,362,0.057295866310596466,1.0589690773245934,,,1.0209424198833571e-05,0.6340060234069824
2025-06-01T22:07:57.159212,2,150,372,0.06733607687056065,1.069654904046588,,,9.685892409218718e-06,0.6270581483840942
2025-06-01T22:08:01.065336,2,160,382,0.05863553658127785,1.060388697414153,,,9.163221566676847e-06,0.5811100006103516
2025-06-01T22:08:04.973440,2,170,392,0.11198949068784714,1.1185011059060128,,,8.642844275656957e-06,0.8527700304985046
2025-06-01T22:08:11.797351,2,180,402,0.06049897149205208,1.0623665049173692,,,8.126186854142752e-06,0.5777755379676819
2025-06-01T22:08:15.700367,2,190,412,0.13823366910219193,1.1482438280332403,,,7.6146654242141935e-06,1.0172908306121826
2025-06-01T22:08:19.585851,2,200,422,0.06519987806677818,1.0673723473855157,,,7.109682030555283e-06,0.6860023140907288
2025-06-01T22:08:23.473603,2,210,432,0.06504671461880207,1.067208877475643,,,6.612620797547087e-06,0.6190823912620544
